timestamp;text;scene_id;danmu_id
1.327;今天吃什么呢;1;1
1.539;加油;1;2
2.172;夏果夏果，我来啦;1;3
2.493;加油！;1;4
2.92;坚持给投币;1;5
4.535;这字幕还以为是地球online的游戏字幕呢;1;6
4.983;阿弥陀佛 阿弥陀佛 阿弥陀佛;1;7
5.059;加油！;1;8
5.679;加油;1;9
6.329;加油;1;10
6.379;棒;1;11
6.399;大通山王如来;1;12
6.753;报菜名;1;13
6.921;加油呀;1;14
7.459;是不是瞬间涨了好多粉;1;15
7.762;加油;1;16
8.379;加油;1;17
8.777;加油;1;18
9.059;这个报菜名的帅哥声音好像良田;1;19
9.598;真好;1;20
9.832;加油;1;21
10.187;厉害;1;22
10.851;棒;1;23
11.339;我们学校也是香锅家的冷藏柜挨着洗手池;2;24
11.619;我弹幕呢;2;25
11.714;注这个OK是为了方便UP主后来剪视频用的;2;26
11.886;请看上个视频;2;27
12.407;宝胜如来;2;28
13.098;加油;2;29
13.739;师傅好好;2;30
14.476;特殊教育学院;2;31
14.979;芝麻开门;2;32
15.099;投币了;2;33
15.111; 萌萌一定很聪明！记住了那么多条路呢！;2;34
16.237;加油;2;35
17.141;放课后音乐室;2;36
17.947;世界对于真的需要帮助的人还是很善良的;2;37
18.343;德内丰严王如来;2;38
18.471;加油;2;39
18.97;加油;2;40
19.148;刚看了你剪辑的这个视频真的很辛苦很棒;2;41
19.379;咱们可爱的宝宝又要出去寻找食物了。这次记得小心点，不要再撞撞门了。真的看你这个全程吊着一口气。;2;42
20.139;加油;2;43
20.238;长春大学的特殊教育专业，是长春大学的王牌专业之一;2;44
20.899;这个盲杖回弹性不好，费力;2;45
22.159;up吃得越来越丰盛拉;2;46
22.841;加油哦;2;47
23.059;加油;2;48
23.75;怎么剪辑的视频？;2;49
23.979;你声音好好听啊！;2;50
24.349;三曼陀揵提香熏如来;2;51
24.546;联谊活动;2;52
25.219;果果我又来看你啦;2;53
25.81;宝宝好可爱，死了;2;54
26.33;表哥，我出来喽;2;55
26.419;加油;2;56
26.51;好坚强，好努力啊;2;57
26.935;孩子看好了硬币是这么用的！;2;58
28.487;加油！;2;59
28.531;视频谁拍的;2;60
29.492;真的好可爱;2;61
29.89;大圆满;2;62
31.12;肯定是把手机放在胸前上拍的视频;2;63
31.249;好哒;2;64
31.819;看的好心酸，盲人该多难啊;2;65
32.091;特教;2;66
32.859;相機掛身上拍的;2;67
33.011;今天我们去吃个不一样的～这句话好可爱啊;2;68
33.183;有点励志;2;69
33.662;会越来越好的;2;70
33.853;盲女;2;71
34.139;视频这个视角，应该是挂脖相机之类的;2;72
34.229;果果真可爱;2;73
34.758;这个角度显然是up自己拍的;2;74
35.264;普贤王如来祈愿文;2;75
35.356;好哒;2;76
35.599;最痛苦的就是博主后天看不到;2;77
35.844;走这么快;2;78
36.32;我们学校！校友加油！;2;79
36.323;运动相机;2;80
36.546;好家伙，这一说我也饿了;2;81
36.903;这才是硬币的真正用处;2;82
37.384;好哒;2;83
37.47;东北下雪怎么办结冰这个上下坡;2;84
37.579;这几步好轻快呀;2;85
38.735;嗯  我拍的;2;86
39.356;说话好温柔啊;2;87
39.539;up好温柔;2;88
39.539;up好可爱;2;89
40.099;你太棒了，这期视频都感觉到你的开心啦！;2;90
41.099;人家有室友啊，有什么忙，室友帮的呗;2;91
41.629;这期的视角不错，之前有期太低了，把我看晕的想吐，难守了好久。;2;92
42.351;哈哈，看你的视频我也想吃麻辣烫了呢，我觉得我们学校的麻辣烫可好吃了;3;93
42.582;好可爱;3;94
42.619;相机挂在胸口的;3;95
43.811;好;3;96
44.264;好喜欢你的声音;3;97
45.33;盲人怎么打字？纯好奇;3;98
45.739;好温柔的声音;4;99
45.802;无论如何，我们都能阳光的向前走‘’;4;100
46.609;比较熟悉学校的路 都知道到哪了;4;101
46.819;我猜是麻辣烫;4;102
47.369;但问题是开头已经说了是麻辣烫;4;103
47.952;视频谁剪的;4;104
48.14;熟悉的路才敢走这么快;4;105
48.591;问盲人怎么打字的，苹果的无障碍模式做得很好，我见过几位盲人都用的iPhone。;4;106
49.261;可以语音输入啊 而且不是有盲文嘛;4;107
49.568;很多软件的 包括手机 VIVO有无障碍等;4;108
50.5;那是什么树，好美;5;109
50.532;回前面，盲人可以语音输入;5;110
50.539;语音输入）;5;111
50.643;有种东西叫语音翻译;5;112
50.692;直接说话翻译不就行了;5;113
51.158;也是我非常喜欢吃的;5;114
51.899;反复夸栅栏;5;115
51.988;有个叫语音输入法;5;116
52.339;当年在长大溜达过;5;117
53.288;声音真好听;5;118
53.339;up主页有介绍，怎么回复的。现在手机都有无障碍模式;5;119
53.429;我猜点了小油菜;5;120
53.697;现在很多健全普通人也不打字沟通啊……我真服了;5;121
53.779;哈哈哈，每次都夸;5;122
54.174;现在手机都有盲人模式;5;123
54.611;紫藤！;5;124
55.891;每日一夸栅栏;5;125
57.037;可这都是停车位啊，迟早会停上车的;5;126
57.107;下个视频有;5;127
57.499;我们能看见这个世界的光彩，但他不能;5;128
57.539;WC，这个桥，长大啊;5;129
57.744;这要是停车了;5;130
58.259;手机有语音输入和无障碍模式，电脑也有，而且电脑还有实体键盘;5;131
60.152;而且键盘也有盲人用的哇;6;132
60.874;就在这个学校上学的说一下，加了栅栏后这没再停过车;6;133
61.419;减速的！这就是减速啊！;6;134
61.634;这栅栏好像是拦车不让车再停这儿;6;135
62.007;长春大学特殊教育学院;6;136
62.206;停上车了 就会敲到车，然后换条路;6;137
63.006;把这个栏杆加在左边那条黄线那会不会好一点;6;138
63.499;加油加油加油加油;6;139
